Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
what does fork do in c,41,41,70,35,0.00,https://perldoc.perl.org/functions/fork,0,0,0.00,0.33,403000000,"[9,9,9,100,9,9,9,9,9,9,100,80]",2025-12-22,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
regular expression 1,64,64,110,56,0.00,https://perldoc.perl.org/perlre,0,0,0.00,0,560000000,"[42,42,34,53,53,34,34,53,53,53,42,26]",2025-09-06,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
bigintegers,20,20,110,30,0.00,https://perldoc.perl.org/bigint,0,0,0.00,0,34300,"[0,0,1,21,0,0,59,0,0,11,0,39]",2025-09-10,"Image pack, Sitelinks, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
bigintegers,61,61,110,30,0.00,https://perldoc.perl.org/Math::BigInt,0,0,0.00,0,34300,"[0,0,1,21,0,0,59,0,0,11,0,39]",2025-09-10,"Image pack, Sitelinks, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
process forking,64,64,210,44,0.00,https://perldoc.perl.org/functions/fork,0,0,0.00,0,247000000,"[81,36,29,23,36,15,15,6,19,19,15,66]",2025-11-26,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
what does the operator do,24,24,170,32,0.00,https://perldoc.perl.org/perlop,0,0,0.00,0,680000000,"[34,42,80,53,53,34,65,65,65,100,65,34]",2025-09-05,"Image pack, Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,Organic
github remove remote tag,30,30,50,50,0.00,https://blogs.perl.org/users/mr_muskrat/2010/10/remove-a-git-tag-from-github-when-there-is-also-a-branch-of-the-same-name.html,0,0,0.00,0,930000,"[55,55,55,55,55,33,55,77,77,55,77,77]",2025-12-13,"Sitelinks, Video Carousel, People also ask, Related searches",informational,Organic
yaml anchors,32,32,720,38,0.00,https://blogs.perl.org/users/tinita/2019/05/reusing-data-with-yaml-anchors-aliases-and-merge-keys.html,0,0,0.00,0,562000,"[88,72,88,72,59,88,72,88,88,88,72,72]",2025-10-02,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
wait process,55,55,70,14,0.00,https://perldoc.perl.org/functions/wait,0,0,0.00,0,1970000000,"[50,64,64,64,50,35,64,64,64,35,21,50]",2025-09-07,"Image pack, Sitelinks, Video, Related searches",informational,Organic
history of trig,76,76,110,29,0.00,https://perldoc.perl.org/Math::Trig,0,0,0.00,0,5410000,"[52,33,52,42,66,80,100,100,52,23,42,52]",2025-12-11,"Instant answer, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
perl what is,16,16,50,33,0.00,https://www.perl.org/about.html,0,0,0.00,0,39100000,"[26,19,19,26,26,34,26,26,19,19,7,7]",2025-12-04,"Sitelinks, Video, Featured snippet, Video Carousel, People also ask, Related searches",informational,Organic
perl what is,32,32,50,33,0.00,https://perldoc.perl.org/perlintro,0,0,0.00,0,39100000,"[26,19,19,26,26,34,26,26,19,19,7,7]",2025-12-04,"Sitelinks, Video, Featured snippet, Video Carousel, People also ask, Related searches",informational,Organic
string::substr,34,34,70,47,0.00,https://perldoc.perl.org/functions/substr,0,0,0.00,0,3610000,"[0,0,39,32,0,21,0,0,0,0,0,0]",2025-12-20,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
perl sort array,29,29,70,8,0.00,https://blogs.perl.org/users/laurent_r/2019/12/perl-weekly-challenge-40-multiple-arrays-content-and-sublist-sorting.html,0,0,0.00,0,58,"[42,33,23,42,33,33,42,33,33,23,23,9]",2025-09-08,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview","informational, transactional",Organic
perl print hash,35,35,70,16,0.00,https://perldoc.perl.org/Hash::Util,0,0,0.00,0,59,"[34,42,34,34,19,19,26,34,34,26,34,19]",2025-09-09,"Image pack, Sitelinks, Video, Related searches",informational,Organic
utf encode decode,69,69,70,25,0.00,https://perldoc.perl.org/Encode,0,0,0.00,0,2910000,"[64,50,35,50,50,78,50,64,50,35,50,50]",2025-12-19,"Video, Video Carousel, Related searches","commercial, informational",Organic
perl length of array,14,14,50,14,0.00,https://perldoc.perl.org/functions/length,0,0,0.00,0,76,"[8,22,10,6,8,10,8,22,10,18,8,10]",2025-09-10,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
programming website,50,50,140,100,3.29,https://www.perl.org/,0,0,0.00,0.24,353000000,"[15,11,28,11,28,35,28,35,18,18,18,35]",2025-09-09,"Sitelinks, Video, Related searches, AI overview",informational,Organic
ping pe,46,46,140,29,0.00,https://perldoc.perl.org/Net::Ping,0,0,0.00,0.01,65200000,"[65,34,34,0,65,43,0,65,65,65,34,53]",2025-12-24,"Sitelinks, Video, Related searches",navigational,Organic
activestate software,2,2,140,26,24.19,https://www.perl.org/get.html,0,0,0.00,0.03,2400000,"[14,10,35,29,35,100,14,35,14,10,43,18]",2025-12-11,"Sitelinks, Video, People also ask, Related searches",navigational,People also ask
activestate software,14,14,140,26,24.19,https://www.perl.org/get.html,0,0,0.00,0.03,2400000,"[14,10,35,29,35,100,14,35,14,10,43,18]",2025-12-11,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
r progamming,83,83,40,100,2.69,https://www.perl.org/,0,0,0.00,0.05,376000000,"[100,0,0,0,43,0,0,0,0,0,0,0]",2025-12-05,"Knowledge panel, Sitelinks, Video, Related searches, AI overview",informational,Organic
redhat version command,97,97,110,40,0.00,https://www.perl.org/get.html,0,0,0.00,0.04,10,"[65,53,42,34,34,53,42,42,42,34,34,26]",2025-11-15,"Image pack, Sitelinks, Video, Ads bottom, People also ask, Related searches, AI overview",informational,Organic
perl print a hash,13,13,70,15,0.00,https://perldoc.perl.org/Data::Dumper,0,0,0.00,0,29200000,"[26,26,19,26,19,19,19,26,26,26,26,19]",2025-09-08,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
perl print a hash,48,48,70,15,0.00,https://perldoc.perl.org/functions/keys,0,0,0.00,0,29200000,"[26,26,19,26,19,19,19,26,26,26,26,19]",2025-09-08,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
over load,27,27,260,68,0.00,https://perldoc.perl.org/overload,0,0,0.00,0.01,153000000,"[7,4,3,0,11,3,20,11,13,31,20,20]",2025-09-08,"Instant answer, Knowledge panel, Sitelinks, Video, Related searches, AI overview",informational,Organic
mysql books,82,82,70,34,0.97,https://www.perl.org/,0,0,0.00,0.9,12800000,"[12,7,23,17,5,23,28,5,23,7,17,5]",2025-09-08,"Image pack, Sitelinks, Video, Related searches",informational,Organic
floating point 64 bit,81,81,70,18,0.00,https://blogs.perl.org/users/rurban/2012/09/reading-binary-floating-point-numbers-numbers-part2.html,0,0,0.00,0,10,"[78,14,14,14,35,50,50,78,100,78,35,50]",2025-11-14,"Image pack, Sitelinks, Video, People also ask, Related searches, Things to know, AI overview",informational,Organic
phalanx shield,36,36,140,10,0.00,https://qa.perl.org/phalanx/history.html,0,0,0.00,0.02,2170000,"[66,66,66,80,52,66,80,66,52,66,66,80]",2025-12-19,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
base64 --decode command line,40,40,70,18,0.00,https://perldoc.perl.org/MIME::Base64,0,0,0.00,0,299000,"[52,52,42,52,33,42,42,42,0,0,0,0]",2025-09-05,"Image pack, Sitelinks, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
what does hoplite mean,33,33,50,40,0.00,https://qa.perl.org/phalanx/history.html,0,0,0.00,0,619000,"[2,2,2,2,2,15,15,15,2,2,2,15]",2025-12-10,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches, Short videos",informational,Organic
reveae,9,9,170,62,0.00,https://perldoc.perl.org/functions/reverse,0,0,0.00,0,788000000,"[1,0,0,1,0,0,1,0,6,100,6,8]",2025-09-08,"Instant answer, Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
pe docs,22,22,70,44,0.00,https://perldoc.perl.org/,0,0,0.00,0,160000000,"[29,29,41,29,41,41,52,41,41,23,52,41]",2025-12-09,"Sitelinks, Related searches",informational,Organic
mpeix,16,16,30,13,1.15,https://perldoc.perl.org/5.8.6/perlmpeix,0,0,0.00,0.81,7830,"[0,0,100,0,0,0,0,0,0,0,0,0]",2025-10-21,"Image, Related searches","commercial, informational",Organic
language icon,88,88,1000,36,0.00,https://www.perl.org/,0,0,0.00,0,4010000000,"[62,62,36,62,81,62,62,55,62,45,62,81]",2025-12-05,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
перлы,58,58,40,19,0.00,https://www.perl.org/,0,0,0.00,0,10,"[7,7,7,7,7,80,7,7,0,7,7,7]",2025-11-18,"Instant answer, Knowledge panel, Image pack, Video, Image, People also ask, Related searches, Things to know, AI overview",informational,Organic
перлы,61,61,40,19,0.00,https://www.perl.org/,0,0,0.00,0,10,"[7,7,7,7,7,80,7,7,0,7,7,7]",2025-11-18,"Instant answer, Knowledge panel, Image pack, Video, Image, People also ask, Related searches, Things to know, AI overview",informational,Organic
orogramming,32,32,30,80,4.74,https://www.perl.org/,0,0,0.00,0.05,367000000,"[13,0,0,0,0,0,0,0,0,0,0,0]",2025-12-01,"Instant answer, Knowledge panel, Sitelinks, Video, People also ask, Related searches, Things to know, AI overview",informational,Organic
cpp sprintf,47,47,170,22,0.00,https://perldoc.perl.org/functions/sprintf,0,0,0.00,0,313000,"[35,43,29,35,43,35,35,35,29,35,29,35]",2025-12-16,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
base 64 converter,40,40,1000,53,0.00,https://perldoc.perl.org/MIME::Base64,0,0,0.00,0,88300000,"[44,44,24,34,20,20,24,20,34,44,44,34]",2025-12-07,"Sitelinks, Related searches","commercial, informational",Organic
linux mkdir -p,66,66,140,30,0.00,https://perldoc.perl.org/functions/mkdir,0,0,0.00,0,3830000,"[43,53,23,28,23,23,100,23,23,28,23,23]",2025-09-06,"Image pack, Featured snippet, Video Carousel, People also ask, Related searches",informational,Organic
version 5.0,86,86,260,40,0.00,https://www.perl.org/get.html,0,0,0.00,0,19870000000,"[72,21,39,88,21,26,11,14,14,21,7,7]",2025-12-19,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, AI overview",informational,Organic
version 5.0,89,89,260,40,0.00,https://www.perl.org/get.html,0,0,0.00,0,19870000000,"[72,21,39,88,21,26,11,14,14,21,7,7]",2025-12-19,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, AI overview",informational,Organic
script perl,1,1,210,30,0.00,https://www.perl.org/about.html,0,0,0.00,0,10,"[23,0,0,35,0,0,18,81,100,81,23,23]",2025-11-14,"Knowledge panel, Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Things to know, AI overview",informational,Things to know
script perl,8,8,210,30,0.00,https://learn.perl.org/first_steps/,0,0,0.00,0,10,"[23,0,0,35,0,0,18,81,100,81,23,23]",2025-11-14,"Knowledge panel, Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Things to know, AI overview",informational,Organic
script perl,62,62,210,30,0.00,https://blogs.perl.org/users/buddy_burden/2012/04/perl-vs-shell-scripts.html,0,0,0.00,0,10,"[23,0,0,35,0,0,18,81,100,81,23,23]",2025-11-14,"Knowledge panel, Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Things to know, AI overview",informational,Organic
script perl,77,77,210,30,0.00,https://learn.perl.org/examples/,0,0,0.00,0,10,"[23,0,0,35,0,0,18,81,100,81,23,23]",2025-11-14,"Knowledge panel, Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Things to know, AI overview",informational,Organic
c programming language wiki,22,22,320,53,0.00,https://www.perl.org/,0,0,0.00,0,903000000,"[54,81,81,54,54,54,100,54,100,66,54,66]",2025-12-04,"Sitelinks, Video, Related searches",informational,Organic
yaml anchor,24,24,210,33,0.00,https://blogs.perl.org/users/tinita/2019/05/reusing-data-with-yaml-anchors-aliases-and-merge-keys.html,0,0,0.00,0,2900000,"[66,53,53,53,53,43,53,53,66,66,100,53]",2025-09-08,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
getoptions in perl,17,17,110,16,0.00,https://perldoc.perl.org/Getopt::Std,0,0,0.00,0,159000,"[34,21,34,43,34,12,34,43,43,28,34,28]",2025-11-27,"Sitelinks, Related searches, AI overview",informational,Organic
getoptions in perl,41,41,110,16,0.00,https://perldoc.perl.org/5.8.9/Getopt::Long.txt,0,0,0.00,0,159000,"[34,21,34,43,34,12,34,43,43,28,34,28]",2025-11-27,"Sitelinks, Related searches, AI overview",informational,Organic
getoptions in perl,58,58,110,16,0.00,https://perldoc.perl.org/Getopt::Long::Parser,0,0,0.00,0,159000,"[34,21,34,43,34,12,34,43,43,28,34,28]",2025-11-27,"Sitelinks, Related searches, AI overview",informational,Organic
getoptions in perl,66,66,110,16,0.00,https://perldoc.perl.org/5.30.2/Getopt::Long.txt,0,0,0.00,0,159000,"[34,21,34,43,34,12,34,43,43,28,34,28]",2025-11-27,"Sitelinks, Related searches, AI overview",informational,Organic
getoptions in perl,74,74,110,16,0.00,https://perldoc.perl.org/5.6.0/Getopt::Long.txt,0,0,0.00,0,159000,"[34,21,34,43,34,12,34,43,43,28,34,28]",2025-11-27,"Sitelinks, Related searches, AI overview",informational,Organic
getoptions in perl,91,91,110,16,0.00,https://perldoc.perl.org/perlsub,0,0,0.00,0,159000,"[34,21,34,43,34,12,34,43,43,28,34,28]",2025-11-27,"Sitelinks, Related searches, AI overview",informational,Organic
open bin file on mac,97,97,70,18,0.00,https://www.perl.org/get.html,0,0,0.00,0,10,"[15,21,28,21,28,34,28,21,15,43,15,9]",2025-11-11,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
base64 translate,69,69,210,50,0.00,https://perldoc.perl.org/MIME::Base64,0,0,0.00,0,4940000,"[66,23,66,44,15,18,28,23,11,44,66,3]",2025-10-28,"Sitelinks, Video, Related searches",informational,Organic
open function,49,49,70,46,0.00,https://perldoc.perl.org/functions/open,0,0,0.00,0,1910000000,"[64,11,11,0,64,100,100,11,11,11,11,23]",2025-11-26,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
pop shift,27,27,40,22,0.00,https://perldoc.perl.org/functions/shift,0,0,0.00,0,126000000,"[11,11,11,11,11,11,11,11,64,64,11,11]",2025-09-06,"Knowledge panel, Image pack, Video, Related searches",informational,Organic
perl join,24,24,140,18,0.00,https://perldoc.perl.org/threads,0,0,0.00,0,88,"[35,43,35,43,29,22,43,29,35,29,6,22]",2025-09-10,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
power script,89,89,140,45,0.00,https://www.perl.org/,0,0,0.00,0,778000000,"[100,64,100,64,64,64,82,82,82,100,64,64]",2025-09-10,"Knowledge panel, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
of each of,66,66,90,7,0.00,https://perldoc.perl.org/functions/each,0,0,0.00,0,5940000000,"[33,33,42,42,42,66,42,52,19,42,66,52]",2025-09-05,"Image pack, Sitelinks, Video, Related searches",informational,Organic
programing languge,50,50,50,90,2.58,https://www.perl.org/,0,0,0.00,0.03,3090000000,"[0,0,0,0,0,100,0,0,0,11,0,0]",2025-09-05,"Knowledge panel, Sitelinks, Video, Related searches, AI overview",informational,Organic
archive org pokemon,40,40,90,28,0.00,https://www.perl.org/,0,0,0.00,0,9730000,"[45,63,63,81,81,63,63,100,81,63,81,100]",2025-11-10,"Image pack, Video, Image, Video Carousel, People also ask, Related searches","navigational, transactional",Organic
what is perl language used for,9,9,90,35,0.00,https://www.perl.org/,0,0,0.00,0,25400000,"[78,50,64,50,78,64,64,100,100,50,50,78]",2025-11-27,"Image pack, Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,Organic
what is perl language used for,11,11,90,35,0.00,https://www.perl.org/,0,0,0.00,0,25400000,"[78,50,64,50,78,64,64,100,100,50,50,78]",2025-11-27,"Image pack, Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,Organic
what is perl language used for,21,21,90,35,0.00,https://www.perl.org/advocacy/whyperl.html,0,0,0.00,0,25400000,"[78,50,64,50,78,64,64,100,100,50,50,78]",2025-11-27,"Image pack, Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,Organic
what is perl language used for,30,30,90,35,0.00,https://www.perl.org/about.html,0,0,0.00,0,25400000,"[78,50,64,50,78,64,64,100,100,50,50,78]",2025-11-27,"Image pack, Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,Organic
perl if statements,11,11,40,19,0.00,https://perldoc.perl.org/perlsyn,0,0,0.00,0,9,"[3,3,3,0,11,11,7,7,11,3,80,53]",2025-11-13,"Sitelinks, Video, Related searches, AI overview",informational,Organic
perl if statements,37,37,40,19,0.00,https://perldoc.perl.org/perlintro,0,0,0.00,0,9,"[3,3,3,0,11,11,7,7,11,3,80,53]",2025-11-13,"Sitelinks, Video, Related searches, AI overview",informational,Organic
perl if statements,88,88,40,19,0.00,https://perldoc.perl.org/5.24.1/perlsyn.txt,0,0,0.00,0,9,"[3,3,3,0,11,11,7,7,11,3,80,53]",2025-11-13,"Sitelinks, Video, Related searches, AI overview",informational,Organic
unix domain,73,73,260,43,0.00,https://perldoc.perl.org/IO::Socket::UNIX,0,0,0.00,0,23700000,"[100,35,100,28,18,8,6,100,35,11,23,100]",2025-11-26,"Sitelinks, Video, People also ask, Related searches, Things to know",informational,Organic
overloaf,21,21,480,69,0.00,https://perldoc.perl.org/overload,0,0,0.00,0.01,155000000,"[59,39,2,72,3,3,72,26,72,59,100,59]",2025-09-09,"Instant answer, Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
perls,46,46,1600,28,1.59,https://www.perl.org/,0,0,0.00,0,41700000,"[24,24,44,13,18,18,100,35,24,18,18,16]",2025-12-23,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, See results about, AI overview",informational,Organic
programming languages for beginners,95,95,110,27,2.31,https://www.perl.org/,0,0,0.00,0.19,358000000,"[65,80,42,34,53,34,34,26,26,26,34,65]",2025-09-11,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
chomp perl,36,36,140,31,0.00,https://perldoc.perl.org/functions/chop,0,0,0.00,0,61,"[19,15,54,29,15,23,15,15,9,12,0,15]",2025-09-09,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
reading a file in perl,11,11,70,23,0.00,https://learn.perl.org/examples/read_write_file.html,0,0,0.00,0,42200000,"[34,26,26,34,19,26,19,19,11,19,26,19]",2025-09-10,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview","commercial, informational",Organic
reading a file in perl,71,71,70,23,0.00,https://perldoc.perl.org/perlopentut,0,0,0.00,0,42200000,"[34,26,26,34,19,26,19,19,11,19,26,19]",2025-09-10,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview","commercial, informational",Organic
x executable,63,63,110,15,0.00,https://www.perl.org/get.html,0,0,0.00,0,14600000,"[64,64,52,82,52,64,100,52,82,82,82,64]",2025-11-07,"Sitelinks, Video, People also ask, Related searches",informational,Organic
perl coding language,18,18,140,49,0.00,https://www.perl.org/about.html,0,0,0.00,0.01,8520000,"[52,33,42,66,66,80,42,42,66,66,80,100]",2025-12-23,"Knowledge panel, Sitelinks, Video, Related searches, AI overview",informational,Organic
perl coding language,32,32,140,49,0.00,https://perldoc.perl.org/,0,0,0.00,0.01,8520000,"[52,33,42,66,66,80,42,42,66,66,80,100]",2025-12-23,"Knowledge panel, Sitelinks, Video, Related searches, AI overview",informational,Organic
perl coding language,58,58,140,49,0.00,https://learn.perl.org/,0,0,0.00,0.01,8520000,"[52,33,42,66,66,80,42,42,66,66,80,100]",2025-12-23,"Knowledge panel, Sitelinks, Video, Related searches, AI overview",informational,Organic
lugh algorithm,48,48,140,41,0.00,https://blogs.perl.org/users/laurent_r/2024/10/perl-weekly-challenge-290-luhns-algorithm.html,0,0,0.00,0,4990,"[28,66,17,28,17,43,28,53,17,28,100,35]",2025-09-09,"Image pack, Video, Related searches, Things to know","commercial, informational",Organic
perl glob,6,6,90,28,0.00,https://perldoc.perl.org/File::Glob,0,0,0.00,0,63,"[52,52,42,42,33,23,42,33,52,33,33,33]",2025-09-09,"Image pack, Sitelinks, Video, Related searches",informational,Organic
chown use,97,97,70,31,0.00,https://perldoc.perl.org/functions/chown,0,0,0.00,0.05,3240000,"[63,45,45,63,63,100,81,81,63,63,63,63]",2025-12-18,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
what are programming language,69,69,320,35,3.09,https://www.perl.org/,0,0,0.00,0,388000000,"[23,15,23,35,44,54,66,66,54,54,81,100]",2025-11-26,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
parser job,29,29,40,5,0.00,https://perldoc.perl.org/TAP::Parser::Scheduler::Job,0,0,0.00,0,10,"[29,2,9,5,2,2,2,2,2,2,2,0]",2025-11-16,"Image pack, Video, Jobs search, Video Carousel, People also ask, Related searches, AI overview",commercial,Organic
perl regular expression cheat sheet,55,55,110,18,0.00,https://perldoc.perl.org/perlcheat,0,0,0.00,0,98,"[100,100,78,100,78,64,64,64,78,78,64,64]",2025-09-07,"Image pack, Sitelinks, Video, Related searches",informational,Organic
base64 string example,22,22,50,49,0.00,https://perldoc.perl.org/MIME::Base64,0,0,0.00,0,19300000,"[65,11,19,15,19,15,19,11,15,19,19,11]",2025-12-15,"Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
base64 chars,22,22,210,41,0.00,https://perldoc.perl.org/MIME::Base64,0,0,0.00,0,21300000,"[43,65,81,65,53,34,100,100,53,65,81,53]",2025-12-07,"Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
general public licence,22,22,720,68,3.65,https://dev.perl.org/licenses/gpl1.html,0,0,0.00,0.03,338000000,"[0,0,8,2,0,0,3,0,65,100,1,8]",2025-10-11,"Knowledge panel, Sitelinks, Video, People also ask, Related searches, Things to know",informational,Organic
regular expression perl cheat sheet,18,18,70,13,0.00,https://perldoc.perl.org/perlre,0,0,0.00,0,42100,"[52,52,33,42,33,33,33,33,14,33,33,33]",2025-09-06,"Image pack, Video, People also ask, Related searches, AI overview",informational,Organic
regular expression perl cheat sheet,56,56,70,13,0.00,https://perldoc.perl.org/perlrequick,0,0,0.00,0,42100,"[52,52,33,42,33,33,33,33,14,33,33,33]",2025-09-06,"Image pack, Video, People also ask, Related searches, AI overview",informational,Organic
regular expression perl cheat sheet,75,75,70,13,0.00,https://perldoc.perl.org/5.8.1/perlre,0,0,0.00,0,42100,"[52,52,33,42,33,33,33,33,14,33,33,33]",2025-09-06,"Image pack, Video, People also ask, Related searches, AI overview",informational,People also ask
man flock,26,26,90,50,0.00,https://perldoc.perl.org/functions/flock,0,0,0.00,0,54600000,"[64,64,64,35,64,64,78,50,64,50,64,50]",2025-11-06,"Video, People also ask",informational,Organic
perl sprintf,7,7,260,18,0.00,https://perldoc.perl.org/5.005/functions/sprintf,0,0,0.00,0,63,"[66,82,66,100,66,35,35,66,66,66,53,53]",2025-09-08,"Image pack, Sitelinks, People also ask, Related searches, AI overview",informational,Organic
mysql installer macos,89,89,40,31,0.00,https://www.perl.org/get.html,0,0,0.00,0.02,7,"[4,33,4,23,66,100,0,0,0,0,0,0]",2025-11-25,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
perl variables,7,7,40,22,0.00,https://perldoc.perl.org/variables,0,0,0.00,0,20100000,"[100,77,77,44,55,55,55,55,0,22,11,0]",2025-12-01,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
perl variables,17,17,40,22,0.00,https://perldoc.perl.org/perlintro,0,0,0.00,0,20100000,"[100,77,77,44,55,55,55,55,0,22,11,0]",2025-12-01,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
perl variables,39,39,40,22,0.00,https://perldoc.perl.org/perldata,0,0,0.00,0,20100000,"[100,77,77,44,55,55,55,55,0,22,11,0]",2025-12-01,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
perl variables,43,43,40,22,0.00,https://perldoc.perl.org/perldata,0,0,0.00,0,20100000,"[100,77,77,44,55,55,55,55,0,22,11,0]",2025-12-01,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
perl variables,89,89,40,22,0.00,https://perldoc.perl.org/Env,0,0,0.00,0,20100000,"[100,77,77,44,55,55,55,55,0,22,11,0]",2025-12-01,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
64 bit encoding,28,28,40,67,0.00,https://perldoc.perl.org/MIME::Base64,0,0,0.00,0,51800000,"[15,11,15,3,3,15,15,19,15,15,26,19]",2025-09-12,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
dumper,60,60,3600,30,3.68,https://perldoc.perl.org/Data::Dumper,0,0,0.00,0.15,24700000,"[3,3,4,4,4,4,5,4,4,5,7,7]",2025-12-23,"Instant answer, Image pack, Video, Image, Related searches, See results about",informational,Organic
offline latex editor,72,72,50,45,0.00,https://www.perl.org/get.html,0,0,0.00,0.04,81,"[9,9,9,9,52,52,9,9,100,9,9,9]",2025-09-10,"Image pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
show current working directory linux,73,73,70,16,0.00,https://perldoc.perl.org/Cwd,0,0,0.00,0,8,"[77,100,55,55,77,33,55,100,77,77,77,77]",2025-11-24,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
website coding languages,39,39,210,34,3.45,https://www.perl.org/,0,0,0.00,0.05,6,"[54,43,43,35,66,35,43,43,43,35,35,54]",2025-11-19,"Sitelinks, Video, People also ask, Related searches, See results about, AI overview",informational,Organic
website coding languages,40,40,210,34,3.45,https://www.perl.org/,0,0,0.00,0.05,6,"[54,43,43,35,66,35,43,43,43,35,35,54]",2025-11-19,"Sitelinks, Video, People also ask, Related searches, See results about, AI overview",informational,Organic
extension pl,96,96,90,29,0.00,https://perldoc.perl.org/ExtUtils::MakeMaker,0,0,0.00,0,137000000,"[78,78,64,64,50,64,64,64,64,64,100,78]",2025-09-05,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
in_addr struct,41,41,70,19,0.00,https://perldoc.perl.org/5.8.2/Socket,0,0,0.00,0,53000,"[63,45,45,63,27,63,63,45,63,45,81,45]",2025-12-22,"Sitelinks, Related searches, AI overview",informational,Organic
what arithmetic operators cannot be used with strings,42,42,110,6,0.00,https://perldoc.perl.org/perlop,0,0,0.00,0,3300000,"[6,6,34,34,34,34,34,65,100,28,28,65]",2025-12-19,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
_rand,25,25,110,36,2.73,https://perldoc.perl.org/functions/rand,0,0,0.00,0,35700,"[82,82,82,82,82,100,82,82,64,64,0,0]",2025-12-19,"Sitelinks, Video, Video Carousel, Related searches, AI overview","informational, transactional",Organic
what programming language to learn,43,43,70,32,2.99,https://www.perl.org/,0,0,0.00,0.16,366000000,"[19,53,65,34,26,19,26,19,19,15,19,19]",2025-11-08,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
cmd bad array subscript,43,43,40,15,0.00,https://perldoc.perl.org/perldiag,0,0,0.00,0,33100,"[0,64,100,11,23,11,11,11,11,11,11,11]",2025-12-15,"Related searches, AI overview",informational,Organic
